category	file	line	description	severity	author
dead-code/unused-import	cron/pantheon-sync/sync_scheduler.py	24	import os unused	medium	
dead-code/unused-import	cron/pantheon-sync/test_adapters.py	4	import pytest unused	medium	
dead-code/unused-import	examples/morning-briefing/morning-briefing.example.py	22	import sys unused	medium	
dead-code/unused-import	lib/forge_sweep.py	17	import sys unused	medium	
dead-code/unused-import	lib/forge_sweep.py	19	import copy.deepcopy unused	medium	
dead-code/unused-import	lib/forge_sweep.py	23	import typing.Optional unused	medium	
dead-code/unused-import	lib/forge_sweep.py	23	import typing.Tuple unused	medium	
dead-code/unused-import	lib/ichor_brief.py	29	import os unused	medium	
dead-code/unused-import	lib/ichor_brief.py	33	import typing.Optional unused	medium	
dead-code/unused-import	lib/ichor_forge.py	36	import pathlib.Path unused	medium	
dead-code/unused-import	lib/ichor_forge.py	37	import typing.Optional unused	medium	
dead-code/unused-import	lib/ichor_forge.py	37	import typing.Tuple unused	medium	
dead-code/unused-import	lib/ichor_forge.py	538	import lib.ichor_gates.PHASE_KEYWORDS unused	medium	
dead-code/unused-import	lib/ichor_forge.py	539	import lib.ichor_gates.PHASE_TOOLS unused	medium	
dead-code/unused-import	lib/ichor_forge.py	540	import lib.ichor_gates.RALPHPhase unused	medium	
dead-code/unused-import	lib/ichor_gates.py	43	import dataclasses.field unused	medium	
dead-code/unused-import	lib/ichor_graph_query.py	34	import os unused	medium	
dead-code/unused-import	lib/ichor_graph_query.py	37	import collections.defaultdict unused	medium	
dead-code/unused-import	lib/ichor_graph_query.py	38	import datetime.datetime unused	medium	
dead-code/unused-import	lib/ichor_graph_query.py	38	import datetime.timezone unused	medium	
dead-code/unused-import	lib/ichor_hybrid.py	35	import typing.Tuple unused	medium	
dead-code/unused-import	lib/ichor_memory_score.py	12	import datetime.datetime unused	medium	
dead-code/unused-import	lib/ichor_memory_score.py	12	import datetime.timezone unused	medium	
dead-code/unused-import	lib/ichor_memory_score.py	13	import pathlib.Path unused	medium	
dead-code/unused-import	lib/ichor_memory_score.py	14	import typing.Optional unused	medium	
dead-code/unused-import	lib/ichor_subconscious.py	24	import os unused	medium	
dead-code/unused-import	lib/ichor_subconscious.py	28	import typing.Optional unused	medium	
dead-code/unused-import	pantheon-core/api.py	9	import sanctuary.config.SanctuaryConfig unused	medium	
dead-code/unused-import	pantheon-core/gods/graph_client.py	18	import time unused	medium	
dead-code/unused-import	pantheon-core/gods/hades.py	20	import collections.defaultdict unused	medium	
dead-code/unused-import	pantheon-core/gods/hades.py	23	import typing.Tuple unused	medium	
dead-code/unused-import	pantheon-core/gods/hestia.py	19	import dataclasses.field unused	medium	
dead-code/unused-import	pantheon-core/mcp_server.py	20	import typing.Any unused	medium	
dead-code/unused-import	pantheon-core/model_router.py	19	import json unused	medium	
dead-code/unused-import	pantheon-core/model_router.py	22	import time unused	medium	
dead-code/unused-import	pantheon-core/tests/test_api.py	3	import tempfile unused	medium	
dead-code/unused-import	pantheon-core/tests/test_api.py	4	import pytest unused	medium	
dead-code/unused-import	pantheon-core/tests/test_api.py	13	import importlib unused	medium	
dead-code/unused-import	pantheon-core/tests/test_api.py	14	import api unused	medium	
dead-code/unused-import	pantheon-core/tests/test_harness_loader.py	3	import harness.exceptions.HarnessCircularExtendsError unused	medium	
dead-code/unused-import	pantheon-core/tests/test_hestia.py	7	import pytest unused	medium	
dead-code/unused-import	pantheon-core/tests/test_sanctuary_config.py	3	import pytest unused	medium	
dead-code/unused-import	pantheon-core/tests/test_vault_writer.py	1	import os unused	medium	
dead-code/unused-import	pantheon-core/tests/test_vault_writer.py	4	import pytest unused	medium	
dead-code/unused-import	plugins/ichor-gates/__init__.py	38	import typing.List unused	medium	
dead-code/unused-import	plugins/pantheon-ichor-nudge/__init__.py	33	import typing.Any unused	medium	
dead-code/unused-import	plugins/pantheon-ichor-nudge/__init__.py	33	import typing.Optional unused	medium	
dead-code/unused-import	plugins/pantheon-shared-facts/__init__.py	17	import json unused	medium	
dead-code/unused-import	plugins/pantheon-shared-facts/__init__.py	21	import time unused	medium	
dead-code/unused-import	plugins/pantheon/__init__.py	35	import re unused	medium	
dead-code/unused-import	plugins/pantheon/__init__.py	37	import time unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/classifier.py	12	import typing.Any unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/classifier.py	12	import typing.Dict unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/classifier.py	272	import json unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/ingest.py	9	import json unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/ingest.py	11	import os unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/ingest.py	12	import re unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/ingest.py	15	import time unused	medium	
dead-code/unused-import	plugins/pantheon/demeter/ingest.py	16	import dataclasses.field unused	medium	
